,measure,sex,age,cause,year,val.Number,val.Percent
90434,Prevalence,Female,60 to 64,Diabetes mellitus,2017,221602.832627,0.1075364657
90435,Prevalence,Both,60 to 64,Diabetes mellitus,2017,534298.450872,0.1351848254
90439,Prevalence,Male,65 to 69,Diabetes mellitus,2017,352257.792748,0.1950348723
90440,Prevalence,Female,65 to 69,Diabetes mellitus,2017,264876.929933,0.1319724648
90441,Prevalence,Both,65 to 69,Diabetes mellitus,2017,617134.72268,0.1618421458
90445,Prevalence,Male,70 to 74,Diabetes mellitus,2017,276216.006816,0.2149097253
90446,Prevalence,Female,70 to 74,Diabetes mellitus,2017,228588.497759,0.1544646166
90447,Prevalence,Both,70 to 74,Diabetes mellitus,2017,504804.504575,0.1825601017
90451,Prevalence,Male,75 to 79,Diabetes mellitus,2017,234166.477675,0.2476021521
90452,Prevalence,Female,75 to 79,Diabetes mellitus,2017,225010.745667,0.187651649
90453,Prevalence,Both,75 to 79,Diabetes mellitus,2017,459177.223342,0.2140861877
90457,Prevalence,Male,80 plus,Diabetes mellitus,2017,411107.070065,0.2934342743
90458,Prevalence,Female,80 plus,Diabetes mellitus,2017,589663.790968,0.2322234228
90459,Prevalence,Both,80 plus,Diabetes mellitus,2017,1000770.86103,0.2539880804
90463,Prevalence,Male,All Ages,Diabetes mellitus,2017,2516898.09586,0.0855226045
90464,Prevalence,Female,All Ages,Diabetes mellitus,2017,2229282.68564,0.0694123754
90465,Prevalence,Both,All Ages,Diabetes mellitus,2017,4746180.7815,0.0771157342
90469,Prevalence,Male,5-14 years,Diabetes mellitus,2017,4302.77057438,0.0012806594
90470,Prevalence,Female,5-14 years,Diabetes mellitus,2017,3981.51569962,0.0011859514
90471,Prevalence,Both,5-14 years,Diabetes mellitus,2017,8284.286274,0.0012332841
90475,Prevalence,Male,15-49 years,Diabetes mellitus,2017,495950.243877,0.0366702662
90476,Prevalence,Female,15-49 years,Diabetes mellitus,2017,398741.545178,0.028516071
90477,Prevalence,Both,15-49 years,Diabetes mellitus,2017,894691.789056,0.032525162
90481,Prevalence,Male,50-69 years,Diabetes mellitus,2017,1095058.33468,0.1397452117
90482,Prevalence,Female,50-69 years,Diabetes mellitus,2017,783205.879721,0.093107172
90483,Prevalence,Both,50-69 years,Diabetes mellitus,2017,1878264.2144,0.1155998771
90487,Prevalence,Male,70+ years,Diabetes mellitus,2017,921489.554556,0.2537126138
90488,Prevalence,Female,70+ years,Diabetes mellitus,2017,1043263.03439,0.1999288575
90489,Prevalence,Both,70+ years,Diabetes mellitus,2017,1964752.58895,0.2220011318
90493,Prevalence,Male,Age-standardized,Diabetes mellitus,2017,NA,0.0580003652
90494,Prevalence,Female,Age-standardized,Diabetes mellitus,2017,NA,0.0412875293
90495,Prevalence,Both,Age-standardized,Diabetes mellitus,2017,NA,0.0490687108
90496,Prevalence,Male,<1 year,Diabetes mellitus,2017,0,0
90497,Prevalence,Female,<1 year,Diabetes mellitus,2017,0,0
90498,Prevalence,Both,<1 year,Diabetes mellitus,2017,0,0
90502,Prevalence,Male,80 to 84,Diabetes mellitus,2017,214898.62655,0.2879209371
90503,Prevalence,Female,80 to 84,Diabetes mellitus,2017,252487.803284,0.2257686425
90504,Prevalence,Both,80 to 84,Diabetes mellitus,2017,467386.429834,0.2506459155
90508,Prevalence,Male,85 to 89,Diabetes mellitus,2017,136947.752836,0.3040405978
90509,Prevalence,Female,85 to 89,Diabetes mellitus,2017,206369.381087,0.2419906733
90510,Prevalence,Both,85 to 89,Diabetes mellitus,2017,343317.133923,0.2634366564
90514,Prevalence,Male,90 to 94,Diabetes mellitus,2017,51105.7373614,0.2936900637
90515,Prevalence,Female,90 to 94,Diabetes mellitus,2017,105664.929789,0.2344028674
90516,Prevalence,Both,90 to 94,Diabetes mellitus,2017,156770.667151,0.2509150135
90520,Prevalence,Male,<20 years,Diabetes mellitus,2017,19126.5369789,0.0030377428
90521,Prevalence,Female,<20 years,Diabetes mellitus,2017,17420.6664932,0.0027376857
90522,Prevalence,Both,<20 years,Diabetes mellitus,2017,36547.2034722,0.0028868748
90526,Prevalence,Male,10 to 24,Diabetes mellitus,2017,61950.4983421,0.0115684978
90527,Prevalence,Female,10 to 24,Diabetes mellitus,2017,55873.2582342,0.0103545843
90528,Prevalence,Both,10 to 24,Diabetes mellitus,2017,117823.756576,0.0109591526
90532,Prevalence,Male,95 plus,Diabetes mellitus,2017,8154.95331769,0.2700295007
90533,Prevalence,Female,95 plus,Diabetes mellitus,2017,25141.6768076,0.2143749849
90534,Prevalence,Both,95 plus,Diabetes mellitus,2017,33296.6301253,0.2257716932
90538,Prevalence,Male,<70 years,Diabetes mellitus,2017,1595408.54131,0.0618433571
90539,Prevalence,Female,<70 years,Diabetes mellitus,2017,1186019.65125,0.0440929359
90540,Prevalence,Both,<70 years,Diabetes mellitus,2017,2781428.19255,0.0527826823
93854,Prevalence,Male,Under 5,Acute hepatitis,2017,6135.89888335,0.0057085236
93855,Prevalence,Female,Under 5,Acute hepatitis,2017,5465.69470146,0.0047754684
93856,Prevalence,Both,Under 5,Acute hepatitis,2017,11601.5935848,0.005226936
93860,Prevalence,Male,Early Neonatal,Acute hepatitis,2017,28.7231256403,0.0131550097
93861,Prevalence,Female,Early Neonatal,Acute hepatitis,2017,25.8814459334,0.0101576192
93862,Prevalence,Both,Early Neonatal,Acute hepatitis,2017,54.6045715737,0.011500806
93866,Prevalence,Male,Late Neonatal,Acute hepatitis,2017,124.062784745,0.0178173826
93867,Prevalence,Female,Late Neonatal,Acute hepatitis,2017,112.623027902,0.0144714159
93868,Prevalence,Both,Late Neonatal,Acute hepatitis,2017,236.685812648,0.0160374622
93872,Prevalence,Male,Post Neonatal,Acute hepatitis,2017,1321.52681472,0.0102463317
93873,Prevalence,Female,Post Neonatal,Acute hepatitis,2017,1184.83474075,0.0083787503
93874,Prevalence,Both,Post Neonatal,Acute hepatitis,2017,2506.36155547,0.0092648337
93878,Prevalence,Male,1 to 4,Acute hepatitis,2017,4661.58615824,0.0049791448
93879,Prevalence,Female,1 to 4,Acute hepatitis,2017,4142.35548688,0.004173762
93880,Prevalence,Both,1 to 4,Acute hepatitis,2017,8803.94164512,0.0045643055
93884,Prevalence,Male,5 to 9,Acute hepatitis,2017,4018.76681727,0.0024641035
93885,Prevalence,Female,5 to 9,Acute hepatitis,2017,3435.32220963,0.0021100664
93886,Prevalence,Both,5 to 9,Acute hepatitis,2017,7454.0890269,0.0022871067
93890,Prevalence,Male,10 to 14,Acute hepatitis,2017,3520.51287817,0.0020377758
93891,Prevalence,Female,10 to 14,Acute hepatitis,2017,2855.57980278,0.001652118
93892,Prevalence,Both,10 to 14,Acute hepatitis,2017,6376.09268095,0.0018448479
93896,Prevalence,Male,15 to 19,Acute hepatitis,2017,3447.21658777,0.0018536374
93897,Prevalence,Female,15 to 19,Acute hepatitis,2017,2645.31349716,0.0014217703
93898,Prevalence,Both,15 to 19,Acute hepatitis,2017,6092.53008494,0.0016376185
93902,Prevalence,Male,20 to 24,Acute hepatitis,2017,3350.05011679,0.0018960211
93903,Prevalence,Female,20 to 24,Acute hepatitis,2017,2487.22928646,0.0013765757
93904,Prevalence,Both,20 to 24,Acute hepatitis,2017,5837.27940325,0.00163337
93908,Prevalence,Male,25 to 29,Acute hepatitis,2017,3449.03338711,0.0018954287
93909,Prevalence,Female,25 to 29,Acute hepatitis,2017,2622.15843116,0.0013742525
93910,Prevalence,Both,25 to 29,Acute hepatitis,2017,6071.19181827,0.00162865
93914,Prevalence,Male,30 to 34,Acute hepatitis,2017,3406.13505845,0.0017922771
93915,Prevalence,Female,30 to 34,Acute hepatitis,2017,2621.20152046,0.0013011362
93916,Prevalence,Both,30 to 34,Acute hepatitis,2017,6027.33657891,0.0015395371
93920,Prevalence,Male,35 to 39,Acute hepatitis,2017,3351.76046761,0.001708156
93921,Prevalence,Female,35 to 39,Acute hepatitis,2017,2533.02666146,0.0012342626
93922,Prevalence,Both,35 to 39,Acute hepatitis,2017,5884.78712907,0.0014658758
93926,Prevalence,Male,40 to 44,Acute hepatitis,2017,3322.13442959,0.0016123364
93927,Prevalence,Female,40 to 44,Acute hepatitis,2017,2500.74109644,0.0011806138
93928,Prevalence,Both,40 to 44,Acute hepatitis,2017,5822.87552604,0.0013934896
93932,Prevalence,Male,45 to 49,Acute hepatitis,2017,3287.36005979,0.0015258974
93933,Prevalence,Female,45 to 49,Acute hepatitis,2017,2464.08299685,0.0011086728
93934,Prevalence,Both,45 to 49,Acute hepatitis,2017,5751.44305663,0.0013140199
93938,Prevalence,Male,50 to 54,Acute hepatitis,2017,3040.59524072,0.0014297654
93939,Prevalence,Female,50 to 54,Acute hepatitis,2017,2278.62856201,0.0010290379
93940,Prevalence,Both,50 to 54,Acute hepatitis,2017,5319.22380273,0.0012253499
93944,Prevalence,Male,55 to 59,Acute hepatitis,2017,2617.21331825,0.0013010554
93945,Prevalence,Female,55 to 59,Acute hepatitis,2017,1985.53441289,0.0009323016
93946,Prevalence,Both,55 to 59,Acute hepatitis,2017,4602.74773113,0.0011114225
93950,Prevalence,Male,60 to 64,Acute hepatitis,2017,2176.24004741,0.0011504588
93951,Prevalence,Female,60 to 64,Acute hepatitis,2017,1669.5601831,0.0008101841
93952,Prevalence,Both,60 to 64,Acute hepatitis,2017,3845.8002305,0.0009730446
93956,Prevalence,Male,65 to 69,Acute hepatitis,2017,1747.8430013,0.0009677341
93957,Prevalence,Female,65 to 69,Acute hepatitis,2017,1357.70951091,0.0006764685
93958,Prevalence,Both,65 to 69,Acute hepatitis,2017,3105.55251221,0.0008144292
93962,Prevalence,Male,70 to 74,Acute hepatitis,2017,1029.14438281,0.000800727
93963,Prevalence,Female,70 to 74,Acute hepatitis,2017,834.631370315,0.0005639892
93964,Prevalence,Both,70 to 74,Acute hepatitis,2017,1863.77575312,0.0006740279
93968,Prevalence,Male,75 to 79,Acute hepatitis,2017,662.283695223,0.0007002831
93969,Prevalence,Female,75 to 79,Acute hepatitis,2017,602.882096933,0.0005027873
93970,Prevalence,Both,75 to 79,Acute hepatitis,2017,1265.16579216,0.0005898702
93974,Prevalence,Male,80 plus,Acute hepatitis,2017,907.28749018,0.0006475915
93975,Prevalence,Female,80 plus,Acute hepatitis,2017,1277.62324128,0.0005031584
93976,Prevalence,Both,80 plus,Acute hepatitis,2017,2184.91073146,0.000554514
93980,Prevalence,Male,All Ages,Acute hepatitis,2017,49469.4758618,0.0016809379
93981,Prevalence,Female,All Ages,Acute hepatitis,2017,39636.9195813,0.0012341549
93982,Prevalence,Both,All Ages,Acute hepatitis,2017,89106.3954431,0.0014477901
93986,Prevalence,Male,5-14 years,Acute hepatitis,2017,7539.27969545,0.0022443497
93987,Prevalence,Female,5-14 years,Acute hepatitis,2017,6290.90201241,0.0018739713
93988,Prevalence,Both,5-14 years,Acute hepatitis,2017,13830.1817079,0.0020591702
93992,Prevalence,Male,15-49 years,Acute hepatitis,2017,23613.6901071,0.001746002
93993,Prevalence,Female,15-49 years,Acute hepatitis,2017,17873.75349,0.0012782342
93994,Prevalence,Both,15-49 years,Acute hepatitis,2017,41487.4435971,0.0015082109
93998,Prevalence,Male,50-69 years,Acute hepatitis,2017,9581.89160767,0.0012228038
93999,Prevalence,Female,50-69 years,Acute hepatitis,2017,7291.4326689,0.0008668074
94000,Prevalence,Both,50-69 years,Acute hepatitis,2017,16873.3242766,0.0010384973
94004,Prevalence,Male,70+ years,Acute hepatitis,2017,2598.71556821,0.000715502
94005,Prevalence,Female,70+ years,Acute hepatitis,2017,2715.13670853,0.0005203243
94006,Prevalence,Both,70+ years,Acute hepatitis,2017,5313.85227674,0.0006004231
94010,Prevalence,Male,Age-standardized,Acute hepatitis,2017,NA,0.001942476
94011,Prevalence,Female,Age-standardized,Acute hepatitis,2017,NA,0.0015191466
94012,Prevalence,Both,Age-standardized,Acute hepatitis,2017,NA,0.0017266395
94013,Prevalence,Male,<1 year,Acute hepatitis,2017,1474.31272511,0.010672651
94014,Prevalence,Female,<1 year,Acute hepatitis,2017,1323.33921458,0.008720123
94015,Prevalence,Both,<1 year,Acute hepatitis,2017,2797.65193969,0.0096454286
94019,Prevalence,Male,80 to 84,Acute hepatitis,2017,487.950472471,0.0006537558
94020,Prevalence,Female,80 to 84,Acute hepatitis,2017,543.747833647,0.0004862069
94021,Prevalence,Both,80 to 84,Acute hepatitis,2017,1031.69830612,0.0005532701
94025,Prevalence,Male,85 to 89,Acute hepatitis,2017,285.295209024,0.0006333897
94026,Prevalence,Female,85 to 89,Acute hepatitis,2017,428.922384155,0.000502959
94027,Prevalence,Both,85 to 89,Acute hepatitis,2017,714.217593179,0.0005480391
94031,Prevalence,Male,90 to 94,Acute hepatitis,2017,113.700888294,0.0006534063
94032,Prevalence,Female,90 to 94,Acute hepatitis,2017,238.698089163,0.0005295179
94033,Prevalence,Both,90 to 94,Acute hepatitis,2017,352.398977457,0.0005640224
94037,Prevalence,Male,<20 years,Acute hepatitis,2017,17122.3951666,0.0027196228
94038,Prevalence,Female,<20 years,Acute hepatitis,2017,14401.910211,0.0022632322
94039,Prevalence,Both,<20 years,Acute hepatitis,2017,31524.3053776,0.0024901724
94043,Prevalence,Male,10 to 24,Acute hepatitis,2017,10317.7795827,0.0019268052
94044,Prevalence,Female,10 to 24,Acute hepatitis,2017,7988.12258641,0.0014803335
94045,Prevalence,Both,10 to 24,Acute hepatitis,2017,18305.9021691,0.0017026938
94049,Prevalence,Male,95 plus,Acute hepatitis,2017,20.3409203915,0.0006735342
94050,Prevalence,Female,95 plus,Acute hepatitis,2017,66.2549343163,0.0005649345
94051,Prevalence,Both,95 plus,Acute hepatitis,2017,86.5958547078,0.0005871731
94055,Prevalence,Male,<70 years,Acute hepatitis,2017,46870.7602936,0.0018168651
94056,Prevalence,Female,<70 years,Acute hepatitis,2017,36921.7828728,0.0013726341
94057,Prevalence,Both,<70 years,Acute hepatitis,2017,83792.5431663,0.0015901044
94061,Prevalence,Male,Under 5,Acute hepatitis B,2017,485.111869049,0.0004514018
94062,Prevalence,Female,Under 5,Acute hepatitis B,2017,248.120521043,0.0002168196
94063,Prevalence,Both,Under 5,Acute hepatitis B,2017,733.232390092,0.0003304004
94067,Prevalence,Male,Early Neonatal,Acute hepatitis B,2017,1.3454928715,0.0006160304
94068,Prevalence,Female,Early Neonatal,Acute hepatitis B,2017,0.7081442249,0.000277992
94069,Prevalence,Both,Early Neonatal,Acute hepatitis B,2017,2.0536370964,0.0004324141
94073,Prevalence,Male,Late Neonatal,Acute hepatitis B,2017,3.9092372454,0.0005611599
94074,Prevalence,Female,Late Neonatal,Acute hepatitis B,2017,2.0560013226,0.0002643213
94075,Prevalence,Both,Late Neonatal,Acute hepatitis B,2017,5.9652385679,0.0004041396
94079,Prevalence,Male,Post Neonatal,Acute hepatitis B,2017,78.4593811314,0.0006079743
94080,Prevalence,Female,Post Neonatal,Acute hepatitis B,2017,40.8572855119,0.0002890334
94081,Prevalence,Both,Post Neonatal,Acute hepatitis B,2017,119.316666643,0.000440925
94085,Prevalence,Male,1 to 4,Acute hepatitis B,2017,401.397757801,0.0004288467
94086,Prevalence,Female,1 to 4,Acute hepatitis B,2017,204.499089983,0.0002060737
94087,Prevalence,Both,1 to 4,Acute hepatitis B,2017,605.896847784,0.0003141787
94091,Prevalence,Male,5 to 9,Acute hepatitis B,2017,642.598611881,0.0003939523
94092,Prevalence,Female,5 to 9,Acute hepatitis B,2017,311.107271496,0.0001910989
94093,Prevalence,Both,5 to 9,Acute hepatitis B,2017,953.705883377,0.0002926033
94097,Prevalence,Male,10 to 14,Acute hepatitis B,2017,930.429578683,0.000538502
94098,Prevalence,Female,10 to 14,Acute hepatitis B,2017,442.826955979,0.0002562081
94099,Prevalence,Both,10 to 14,Acute hepatitis B,2017,1373.25653466,0.0003973222
94103,Prevalence,Male,15 to 19,Acute hepatitis B,2017,1259.52277112,0.0006771918
94104,Prevalence,Female,15 to 19,Acute hepatitis B,2017,607.161893421,0.0003263184
94105,Prevalence,Both,15 to 19,Acute hepatitis B,2017,1866.68466454,0.0005017122
94109,Prevalence,Male,20 to 24,Acute hepatitis B,2017,1542.13916794,0.0008727745
94110,Prevalence,Female,20 to 24,Acute hepatitis B,2017,754.034551562,0.000417327
94111,Prevalence,Both,20 to 24,Acute hepatitis B,2017,2296.17371951,0.0006425049
94115,Prevalence,Male,25 to 29,Acute hepatitis B,2017,1755.46690465,0.0009646863
94116,Prevalence,Female,25 to 29,Acute hepatitis B,2017,920.983209731,0.0004826787
94117,Prevalence,Both,25 to 29,Acute hepatitis B,2017,2676.45011438,0.0007179645
94121,Prevalence,Male,30 to 34,Acute hepatitis B,2017,1758.50523848,0.0009253192
94122,Prevalence,Female,30 to 34,Acute hepatitis B,2017,931.311361851,0.0004622853
94123,Prevalence,Both,30 to 34,Acute hepatitis B,2017,2689.81660033,0.0006870477
94127,Prevalence,Male,35 to 39,Acute hepatitis B,2017,1770.33867195,0.0009022512
94128,Prevalence,Female,35 to 39,Acute hepatitis B,2017,926.457949989,0.0004514429
94129,Prevalence,Both,35 to 39,Acute hepatitis B,2017,2696.79662194,0.0006717764
94133,Prevalence,Male,40 to 44,Acute hepatitis B,2017,1784.44385019,0.0008660508
94134,Prevalence,Female,40 to 44,Acute hepatitis B,2017,960.260133861,0.0004533419
94135,Prevalence,Both,40 to 44,Acute hepatitis B,2017,2744.70398406,0.0006568443
94139,Prevalence,Male,45 to 49,Acute hepatitis B,2017,1810.99944097,0.0008406394
94140,Prevalence,Female,45 to 49,Acute hepatitis B,2017,972.590957071,0.0004375976
94141,Prevalence,Both,45 to 49,Acute hepatitis B,2017,2783.59039804,0.0006359648
94145,Prevalence,Male,50 to 54,Acute hepatitis B,2017,1734.20570677,0.0008154734
94146,Prevalence,Female,50 to 54,Acute hepatitis B,2017,939.354598952,0.0004242229
94147,Prevalence,Both,50 to 54,Acute hepatitis B,2017,2673.56030572,0.0006158926
94151,Prevalence,Male,55 to 59,Acute hepatitis B,2017,1557.01599517,0.0007740239
94152,Prevalence,Female,55 to 59,Acute hepatitis B,2017,882.761334339,0.0004144976
94153,Prevalence,Both,55 to 59,Acute hepatitis B,2017,2439.7773295,0.0005891366
94157,Prevalence,Male,60 to 64,Acute hepatitis B,2017,1383.04967704,0.0007311415
94158,Prevalence,Female,60 to 64,Acute hepatitis B,2017,823.415678561,0.0003995769
94159,Prevalence,Both,60 to 64,Acute hepatitis B,2017,2206.4653556,0.0005582688
94163,Prevalence,Male,65 to 69,Acute hepatitis B,2017,1221.31336191,0.000676211
94164,Prevalence,Female,65 to 69,Acute hepatitis B,2017,781.362670553,0.0003893082
94165,Prevalence,Both,65 to 69,Acute hepatitis B,2017,2002.67603246,0.0005252025
94169,Prevalence,Male,70 to 74,Acute hepatitis B,2017,793.019871098,0.0006170097
94170,Prevalence,Female,70 to 74,Acute hepatitis B,2017,561.54980014,0.0003794587
94171,Prevalence,Both,70 to 74,Acute hepatitis B,2017,1354.56967124,0.0004898754
94175,Prevalence,Male,75 to 79,Acute hepatitis B,2017,546.653007051,0.0005780176
94176,Prevalence,Female,75 to 79,Acute hepatitis B,2017,449.356877061,0.0003747519
94177,Prevalence,Both,75 to 79,Acute hepatitis B,2017,996.009884112,0.000464379
94181,Prevalence,Male,80 plus,Acute hepatitis B,2017,735.198561963,0.0005247602
94182,Prevalence,Female,80 plus,Acute hepatitis B,2017,917.585638703,0.0003613671
94183,Prevalence,Both,80 plus,Acute hepatitis B,2017,1652.78420067,0.0004194642
94187,Prevalence,Male,All Ages,Acute hepatitis B,2017,21710.0122859,0.0007376923
94188,Prevalence,Female,All Ages,Acute hepatitis B,2017,12430.2414043,0.0003870337
94189,Prevalence,Both,All Ages,Acute hepatitis B,2017,34140.2536902,0.000554706
94193,Prevalence,Male,5-14 years,Acute hepatitis B,2017,1573.02819056,0.0004682281
94194,Prevalence,Female,5-14 years,Acute hepatitis B,2017,753.934227476,0.0002245749
94195,Prevalence,Both,5-14 years,Acute hepatitis B,2017,2326.96241804,0.0003464385
94199,Prevalence,Male,15-49 years,Acute hepatitis B,2017,11681.4160453,0.0008637299
94200,Prevalence,Female,15-49 years,Acute hepatitis B,2017,6072.80005748,0.0004342908
94201,Prevalence,Both,15-49 years,Acute hepatitis B,2017,17754.2161028,0.0006454249
94205,Prevalence,Male,50-69 years,Acute hepatitis B,2017,5895.58474088,0.0007523749
94206,Prevalence,Female,50-69 years,Acute hepatitis B,2017,3426.8942824,0.0004073908
94207,Prevalence,Both,50-69 years,Acute hepatitis B,2017,9322.47902329,0.0005737696
94211,Prevalence,Male,70+ years,Acute hepatitis B,2017,2074.87144011,0.0005712724
94212,Prevalence,Female,70+ years,Acute hepatitis B,2017,1928.4923159,0.0003695731
94213,Prevalence,Both,70+ years,Acute hepatitis B,2017,4003.36375602,0.0004523483
94217,Prevalence,Male,Age-standardized,Acute hepatitis B,2017,NA,0.0007335954
94218,Prevalence,Female,Age-standardized,Acute hepatitis B,2017,NA,0.0003736133
94219,Prevalence,Both,Age-standardized,Acute hepatitis B,2017,NA,0.0005494274
94220,Prevalence,Male,<1 year,Acute hepatitis B,2017,83.7141112482,0.000605661
94221,Prevalence,Female,<1 year,Acute hepatitis B,2017,43.6214310594,0.0002875506
94222,Prevalence,Both,<1 year,Acute hepatitis B,2017,127.335542308,0.0004388853
94226,Prevalence,Male,80 to 84,Acute hepatitis B,2017,406.575503496,0.0005447296
94227,Prevalence,Female,80 to 84,Acute hepatitis B,2017,410.517948501,0.0003670758
94228,Prevalence,Both,80 to 84,Acute hepatitis B,2017,817.093451997,0.0004381836
94232,Prevalence,Male,85 to 89,Acute hepatitis B,2017,228.545745992,0.0005073989
94233,Prevalence,Female,85 to 89,Acute hepatitis B,2017,309.546880445,0.0003629781
94234,Prevalence,Both,85 to 89,Acute hepatitis B,2017,538.092626437,0.0004128935
94238,Prevalence,Male,90 to 94,Acute hepatitis B,2017,85.9130176484,0.0004937174
94239,Prevalence,Female,90 to 94,Acute hepatitis B,2017,158.178749007,0.000350897
94240,Prevalence,Both,90 to 94,Acute hepatitis B,2017,244.091766656,0.0003906742
94244,Prevalence,Male,<20 years,Acute hepatitis B,2017,3317.66283073,0.000526903
94245,Prevalence,Female,<20 years,Acute hepatitis B,2017,1609.21664194,0.0002528742
94246,Prevalence,Both,<20 years,Acute hepatitis B,2017,4926.87947267,0.000389154
94250,Prevalence,Male,10 to 24,Acute hepatitis B,2017,3732.09151775,0.0006969355
94251,Prevalence,Female,10 to 24,Acute hepatitis B,2017,1804.02340096,0.0003343136
94252,Prevalence,Both,10 to 24,Acute hepatitis B,2017,5536.11491871,0.0005149271
94256,Prevalence,Male,95 plus,Acute hepatitis B,2017,14.1642948272,0.0004690119
94257,Prevalence,Female,95 plus,Acute hepatitis B,2017,39.3420607496,0.0003354574
94258,Prevalence,Both,95 plus,Acute hepatitis B,2017,53.5063555767,0.0003628061
94262,Prevalence,Male,<70 years,Acute hepatitis B,2017,19635.1408458,0.0007611248
94263,Prevalence,Female,<70 years,Acute hepatitis B,2017,10501.7490884,0.0003904189
94264,Prevalence,Both,<70 years,Acute hepatitis B,2017,30136.8899342,0.0005718963
94268,Prevalence,Male,Under 5,Acute hepatitis C,2017,106.29660109,9.8921381924e-05
94269,Prevalence,Female,Under 5,Acute hepatitis C,2017,87.541241359,7.65004837739e-05
94270,Prevalence,Both,Under 5,Acute hepatitis C,2017,193.837842449,8.73494693608e-05
