Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,423,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,"1,435",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,"3,945",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,"7,230",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,"9,060",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,"10,952",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,1,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,"33,153",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,2,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,22,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,85,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,383,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,"1,532",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,"3,444",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,"5,105",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,"6,388",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,2,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,"16,963",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,43,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,175,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,449,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,"1,267",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,"2,788",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,"4,374",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,"4,890",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,"5,446",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrest,I46,All ages,"19,432",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,8,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,22,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,54,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,206,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,672,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,"1,622",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,"2,711",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,"3,959",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,"9,254",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,0-24,4,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,25-34,37,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,35-44,79,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,45-54,257,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,55-64,841,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,65-74,"1,705",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,75-84,"2,753",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,85+,"4,375",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Heart failure,I50,All ages,"10,051",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,4,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,22,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,74,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,257,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,810,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,"1,626",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,"2,107",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,"2,343",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,"7,244",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,35,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,90,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,202,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,477,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,"1,058",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,"1,785",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,"2,051",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,"2,538",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,"8,236",
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,0-24,30,
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,25-34,126,
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,35-44,322,
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,45-54,959,
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,55-64,"2,266",
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,65-74,"3,618",
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,75-84,"3,334",
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,85+,"2,567",
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Sepsis,Sepsis,A40-A41,All ages,"13,222",
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,20,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,29,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,87,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,248,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,948,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,"1,828",
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,"2,119",
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,"1,724",
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,"7,003",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,0-24,39,
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,25-34,163,
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,35-44,546,
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,45-54,"1,681",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,55-64,"3,950",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,65-74,"6,490",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,75-84,"6,426",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,85+,"4,922",
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,Not stated,1,
08/23/2020,02/01/2020,08/22/2020,US,Diabetes,Diabetes,E10-E14,All ages,"24,218",
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,0-24,76,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,25-34,259,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,35-44,577,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,45-54,933,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,55-64,"1,277",
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,65-74,"1,213",
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,75-84,636,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,85+,189,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Obesity,Obesity,E65-E68,All ages,"5,160",
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,47,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,343,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,"1,516",
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,"3,382",
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Alzheimer disease,Alzheimer disease,G30,All ages,"5,290",
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,19,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,269,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,"1,626",
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,"5,130",
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,"10,541",
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,"17,587",
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,0-24,14,
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,25-34,102,
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,35-44,263,
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,45-54,849,
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,55-64,"1,871",
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,65-74,"3,259",
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,75-84,"3,394",
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,85+,"3,143",
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
08/23/2020,02/01/2020,08/22/2020,US,Renal failure,Renal failure,N17-N19,All ages,"12,897",
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,36,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,114,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,164,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,287,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,564,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,915,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,"1,147",
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,"1,565",
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,2,
08/23/2020,02/01/2020,08/22/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,"4,794",
08/23/2020,02/01/2020,08/22/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,240,
08/23/2020,02/01/2020,08/22/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,645,
08/23/2020,02/01/2020,08/22/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,"1,437",
08/23/2020,02/01/2020,08/22/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,"3,946",
08/23/2020,02/01/2020,08/22/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,"9,864",
